Sucursal,Ubicaci�n,Comuna,Marca,Modelo,Versi�n,A�o,Kilometraje,Segmento,Transmision,Combustible,Placa Patente,Color Exterior,Precio Lista,Link,
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 MCA Allure BlueHDi 130 EAT8,2025,17643,Suv,Automatico,Diesel,TWGZ76,GRIS ARTENSE,19180000,www.pompeyo.cl/usados/TWGZ76
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2024,15791,Suv,Mecanico,Diesel,TRGB53,Blanco Okenite,16880000,www.pompeyo.cl/usados/TRGB53
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 AT,2023,42499,Suv,Automatico,Diesel,SSTD83,NARANJO ORANGE FUSION,16080000,www.pompeyo.cl/usados/SSTD83
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2022,37313,Suv,Mecanico,Diesel,RKPY35,BLANCO NACARADO,14180000,www.pompeyo.cl/usados/RKPY35
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 AT,2024,9020,Suv,Automatico,Diesel,TCGR29,Blanco Okenite,17480000,www.pompeyo.cl/usados/TCGR29
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,PEUGEOT,3008,3008 GT HYBRIDA 300 AT,2025,10624,Suv,Automatico,hibrido,TSWY74,GRIS PLATINUM,28980000,www.pompeyo.cl/usados/TSWY74
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2024,33305,Suv,Mecanico,Diesel,THLK70,BLANCO NACARADO,17480000,www.pompeyo.cl/usados/THLK70
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2022,29630,Suv,Mecanico,Diesel,RWWK60,GRIS PLATINUM,15280000,www.pompeyo.cl/usados/RWWK60
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,3008,3008 GT HYBRIDA 300 AT,2025,6317,Suv,Automatico,hibrido,VBVJ76,GRIS ARTENSE,31580000,www.pompeyo.cl/usados/VBVJ76
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT6 5P,2021,42140,Suv,Mecanico,Diesel,PPKB19,BLANCO NACARADO,13880000,www.pompeyo.cl/usados/PPKB19
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2019,82009,Suv,Mecanico,Diesel,KZGY58,GRIS,12980000,www.pompeyo.cl/usados/KZGY58
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,PEUGEOT,3008,3008 1.5 GT BLACK PACK BLUEHDI 130 EAT8 AT,2023,25684,Suv,Automatico,Diesel,SZRL50,BLANCO NACARADO,23980000,www.pompeyo.cl/usados/SZRL50
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,3008,3008 1.5 ALLURE PACK BLUEHDI 130 AT DIESEL,2022,83665,Suv,Automatico,Diesel,RLGD27,GRIS ARTENSE,18380000,www.pompeyo.cl/usados/RLGD27
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2022,78707,Suv,Mecanico,Diesel,SDVC52,GRIS ARTENSE,13880000,www.pompeyo.cl/usados/SDVC52
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , �u�oa,PEUGEOT,5008,5008 P74 GT Hybrid 136hp AT,2025,1651,Suv,Automatico,hibrido,VDDT25,Blanco Okenite,34680000,www.pompeyo.cl/usados/VDDT25
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,5008,5008 P74 GT Hybrid 136hp AT,2025,2257,Suv,Automatico,hibrido,VDDT23,Blanco Okenite,33980000,www.pompeyo.cl/usados/VDDT23
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,GEELY,AZKARRA,AZKARRA 1.5 TURBO LUXURY AT,2023,62165,Suv,Automatico,Gasolina,SJCL21,ROJO,15380000,www.pompeyo.cl/usados/SJCL21
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,AZKARRA,AZKARRA 1.5 TURBO COMFORT AT,2023,57912,Suv,Automatico,Gasolina,SVBW99,PLATEADO PLATA,13180000,www.pompeyo.cl/usados/SVBW99
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,2008,2008 PURETECH 130 1.2,2022,69928,Suv,Mecanico,Diesel,RPFV67,BLANCO NACARADO,12880000,www.pompeyo.cl/usados/RPFV67
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,GEELY,AZKARRA,AZKARRA 1.5 TURBO LUXURY AT,2022,64357,Suv,Automatico,Gasolina,RXLZ66,AZUL,15680000,www.pompeyo.cl/usados/RXLZ66
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,GEELY,AZKARRA,AZKARRA 1.5 TURBO LUXURY AT,2023,41287,Suv,Automatico,Gasolina,SLFR63,PLATEADO PLATA,16480000,www.pompeyo.cl/usados/SLFR63
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,GEELY,AZKARRA,AZKARRA 1.5 AUT,2023,39980,Suv,Automatico,Gasolina,SPPL56,NEGRO,12480000,www.pompeyo.cl/usados/SPPL56
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,GEELY,AZKARRA,AZKARRA 1.5 TURBO LUXURY AT,2023,6711,Suv,Automatico,Gasolina,SRVC26,ROJO,16980000,www.pompeyo.cl/usados/SRVC26
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,SUZUKI,BALENO,BALENO 1.5 GLS MT,2024,36455,CityCar,Mecanico,Gasolina,TGGT46,GRIS PLATA,11780000,www.pompeyo.cl/usados/TGGT46
SEMINUEVOS MOVICENTER,Am�rico Vespucio Norte 1155,Huechuraba,CITROEN,BASALT,Basalt Shine Gasolina 125HP AT,2025,865,Suv,Automatico,Gasolina,VDDF30,NEGRO PERLA NERA,14380000,www.pompeyo.cl/usados/VDDF30
SEMINUEVOS PLAZA OESTE,Av. Am�rico Vespucio 2451,Cerrillos,CITROEN,BERLINGO,Berlingo MCA M Diesel 100HP MT,2025,21832,Furgon,Mecanico,Diesel,VBVK39,BLANCO HIELO,18880000,www.pompeyo.cl/usados/VBVK39
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,CITROEN,C3,C3 1.2 PURETECH 82 BVM FEEL MT,2018,47801,CityCar,Mecanico,Diesel,JVWJ40,BLANCO T ROJO,9180000,www.pompeyo.cl/usados/JVWJ40
