Sucursal,Ubicación,Comuna,Marca,Modelo,Versión,Año,Kilometraje,Placa Patente,Color Exterior,Precio Lista,Link
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,GEELY,COOLRAY,COOLRAY 1.5 SPORT 7DCT AT,2023,81703,SGTV68,PLATEADO PLATA,12980000,www.pompeyo.cl/usados/SGTV68
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,MG,MG 3,MG 3 1.5 MT STD,2023,29151,SSZK86,AMARILLO,7880000,www.pompeyo.cl/usados/SSZK86
AUTOSHOPPING,av. Departamental 4500,Macul,MG,MG 3,MG 3 1.5 COM MT,2024,33506,TBFZ11,AMARILLO,8280000,www.pompeyo.cl/usados/TBFZ11
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2024,33305,THLK70,BLANCO NACARADO,17480000,www.pompeyo.cl/usados/THLK70
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,VOLKSWAGEN,TAOS,TAOS 1.4 TSI HIGHLINE AT,2025,19558,TVSW61,BLANCO PURO,24380000,www.pompeyo.cl/usados/TVSW61
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,MG,MG 3,MG 3 1.5 MT STD,2021,40134,RGHF83,BLANCO,7480000,www.pompeyo.cl/usados/RGHF83
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,MG,MG 3,MG 3 1.5 MT STD,2022,35845,RWYW20,NEGRO,7980000,www.pompeyo.cl/usados/RWYW20
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,OPEL,MOKKA,MOKKA  1.2 ELEGANCE MT,2023,34648,SLFY93,GRIS ARTENSE,13780000,www.pompeyo.cl/usados/SLFY93
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2022,29630,RWWK60,GRIS PLATINUM,15280000,www.pompeyo.cl/usados/RWWK60
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,X-TRAIL,X-TRAIL 2.5 SENSE 2ROW AT,2024,60776,TFSH78,ROJO METALICO,23780000,www.pompeyo.cl/usados/TFSH78
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,3008,3008 GT HYBRIDA 300 AT,2025,6317,VBVJ76,GRIS ARTENSE,31580000,www.pompeyo.cl/usados/VBVJ76
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT6 5P,2021,42140,PPKB19,BLANCO NACARADO,13880000,www.pompeyo.cl/usados/PPKB19
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,OPEL,CORSA,CORSA GS LINE 1.2T AT8,2024,56506,TFCJ42,AZUL VOLTAIC BLUE MET,13580000,www.pompeyo.cl/usados/TFCJ42
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,47895,SZZS31,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZS31
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,MG,ZS,MG ZS 1.5L MT STD ESP,2020,59941,LXLY66,NEGRO,8480000,www.pompeyo.cl/usados/LXLY66
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,COOLRAY,COOLRAY 1.5 COMFORT 7DCT AT,2023,44857,SPRV73,GRIS,11980000,www.pompeyo.cl/usados/SPRV73
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,GEELY,COOLRAY,COOLRAY 1.5 SPORT 7DCT AT,2023,26081,SPWY98,PLATEADO PLATA,13780000,www.pompeyo.cl/usados/SPWY98
AUTOSHOPPING,av. Departamental 4500,Macul,CHERY,TIGGO 7,TIGGO 7  1.5 PRO GLS AT,2024,23469,TPCX29,ROJO METALIZADO,13780000,www.pompeyo.cl/usados/TPCX29
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,56737,SZZS34,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZS34
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 130 AT,2024,9557,TRCS98,ROJO ELIXIR,14980000,www.pompeyo.cl/usados/TRCS98
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,KIA MOTORS,MORNING,MORNING 1.2 EX ABS AC MT,2023,87854,SGHH81,BLANCO INVIERNO,8880000,www.pompeyo.cl/usados/SGHH81
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,OPEL,NEW GRANDLAND,NEW GRANDLAND GS HYBRID 136 HP AT,2025,1854,VGGW64,GRIS ALUMINIUM,27480000,www.pompeyo.cl/usados/VGGW64
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,HAVAL,JOLION,JOLION 1.5 DELUXE AT,2024,7699,TBVR18,BLANCO TITANIO,16380000,www.pompeyo.cl/usados/TBVR18
AUTOSHOPPING,av. Departamental 4500,Macul,SUZUKI,JIMNY,JIMNY 1.5 GL MT 4X4,2024,49591,TJXK43,PLATEADO PLATA,17480000,www.pompeyo.cl/usados/TJXK43
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2019,82009,KZGY58,GRIS,12980000,www.pompeyo.cl/usados/KZGY58
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,DFSK,SUV 500,500 1.5 LUXURY MT 5P,2023,47078,SKJB62,NEGRO,9480000,www.pompeyo.cl/usados/SKJB62
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2023,14726,SRSJ14,GRIS ARTENSE,14680000,www.pompeyo.cl/usados/SRSJ14
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,60535,TBDW58,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/TBDW58
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,30258,TBDX76,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/TBDX76
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,JAC,JS4,JS4 1.6 COMFORT BICOLOR M,2023,34231,SJLF68,ROJO NEGRO,10380000,www.pompeyo.cl/usados/SJLF68
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,65802,SZZW92,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZW92
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,54232,SZZW97,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZW97
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,54635,SZZS37,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZS37
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,56888,TBDW51,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/TBDW51
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,OPEL,MOKKA,Mokka Elegance Gasolina 130HP AT,2024,693,VCCD98,ROJO RUBI METALIZADO,16780000,www.pompeyo.cl/usados/VCCD98
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,OPEL,MOKKA,Mokka Elegance Gasolina 130HP AT,2025,2582,VBXK21,AZUL VOLTAIC,18380000,www.pompeyo.cl/usados/VBXK21
AUTOSHOPPING,av. Departamental 4500,Macul,OPEL,COMBO,Combo Diesel 100HP MT,2025,840,VBXK15,BLANCO BLANC ICY,17180000,www.pompeyo.cl/usados/VBXK15
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,QASHQAI,QASHQAI 1.3T SENSE MT,2023,39225,SJGC22,BLANCO PERLA,18880000,www.pompeyo.cl/usados/SJGC22
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,PEUGEOT,3008,3008 1.5 GT BLACK PACK BLUEHDI 130 EAT8 AT,2023,25684,SZRL50,BLANCO NACARADO,23980000,www.pompeyo.cl/usados/SZRL50
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,PEUGEOT,Partner,PARTNER MCA L1 Diesel 100hp MT,2025,4468,VBHL36,BLANCO HIELO,17880000,www.pompeyo.cl/usados/VBHL36
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,PEUGEOT,5008,5008 P74 GT Hybrid 136hp AT,2025,1651,VDDT25,Blanco Okenite,34680000,www.pompeyo.cl/usados/VDDT25
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,PEUGEOT,5008,5008 P74 GT Hybrid 136hp AT,2025,2257,VDDT23,Blanco Okenite,33980000,www.pompeyo.cl/usados/VDDT23
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.5 ALLURE PACK BLUEHDI 130 AT DIESEL,2025,15720,TVCT21,GRIS SELLENIUM,21980000,www.pompeyo.cl/usados/TVCT21
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,AZKARRA,AZKARRA 1.5 TURBO COMFORT AT,2023,57912,SVBW99,PLATEADO PLATA,13180000,www.pompeyo.cl/usados/SVBW99
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,CITROEN,BASALT,Basalt Shine Gasolina 125HP AT,2025,865,VDDF30,NEGRO PERLA NERA,14380000,www.pompeyo.cl/usados/VDDF30
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,MG,ZX,ZX 1.3T TROPHY AT,2021,77773,RDCJ10,AZUL,11180000,www.pompeyo.cl/usados/RDCJ10
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 MCA Allure BlueHDi 130 EAT8,2025,17643,TWGZ76,GRIS ARTENSE,19180000,www.pompeyo.cl/usados/TWGZ76
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,STARRAY,STARRAY SIGNATURE 2.0 AT,2025,15963,TZGJ36,PLATEADO PLATA,20480000,www.pompeyo.cl/usados/TZGJ36
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,60713,SZZW96,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZW96
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,74635,SZZS97,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZS97
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,78717,SZZR99,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZR99
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,74075,SZZR46,BLANCO HIELO,19980000,www.pompeyo.cl/usados/SZZR46
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,65822,TBDW56,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/TBDW56
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,MG,ZS,MG ZS 1.5L AT COM,2023,34620,SVKD31,NARANJO METALIZADO,10380000,www.pompeyo.cl/usados/SVKD31
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,MG,MG 3,MG 3 1.5 COM MT,2022,64983,RFXP11,BLANCO,8180000,www.pompeyo.cl/usados/RFXP11
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,MG,MG 3,MG 3 1.5 MT STD,2022,20652,SDSH48,AMARILLO,8080000,www.pompeyo.cl/usados/SDSH48
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,Nuevo 208,208 MCA Style Gasolina 75hp MT,2025,4265,VBHL57,GRIS ARTENSE,12080000,www.pompeyo.cl/usados/VBHL57
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,Nuevo 208,208 MCA Style Gasolina 75hp MT,2025,2795,VBHL11,BLANCO BANQUISE,12080000,www.pompeyo.cl/usados/VBHL11
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,Nuevo 2008,2008 MCA Style Hybrid 136hp AT,2025,18993,VBHK74,Blanco Okenite,18480000,www.pompeyo.cl/usados/VBHK74
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,KIA MOTORS,SOLUTO,SOLUTO LX 1.4,2022,59148,RPKP81,BLANCO INVIERNO,8580000,www.pompeyo.cl/usados/RPKP81
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,PEUGEOT,208,208 1.2 PURETECH STYLE 75 MT,2024,12404,TLXT81,BLANCO NACARADO,10980000,www.pompeyo.cl/usados/TLXT81
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,HAVAL,HAVAL H6,H6 TURBO DCT 2.0 AUT,2023,23294,STVL89,ROJO GRANATE,16880000,www.pompeyo.cl/usados/STVL89
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,45295,SZZR70,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZR70
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,69318,SZZS24,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZS24
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,48969,TBDX86,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/TBDX86
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,70079,SZZS38,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZS38
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,301,301 1.6 ACTIVE PACK VTI 115 MT,2019,31278,LFPY74,BLANCO BANQUISE,8980000,www.pompeyo.cl/usados/LFPY74
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,64388,SZZS96,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZS96
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,VOLKSWAGEN,TIGUAN,TIGUAN 2.0 TSI R-LINE AT 4X4,2023,73382,SHKX52,GRIS PLATINO,29480000,www.pompeyo.cl/usados/SHKX52
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,62622,SZZR60,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZR60
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,58465,TBDV35,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/TBDV35
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,69200,SZZS26,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZS26
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,65084,SZZT71,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZT71
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,69633,SZZS32,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZS32
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 MT,2024,15791,TRGB53,Blanco Okenite,16880000,www.pompeyo.cl/usados/TRGB53
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,CITROEN,C3,C3 1.2 PURETECH 82 BVM FEEL MT,2018,47801,JVWJ40,BLANCO T ROJO,9180000,www.pompeyo.cl/usados/JVWJ40
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 AT,2023,42499,SSTD83,NARANJO ORANGE FUSION,16080000,www.pompeyo.cl/usados/SSTD83
